soil_id,treatment,diameter,cumdist
cedlbl,peroxide,29.0535,0.746823
cedlbl,peroxide,29.7729,0.749096
cedlbl,peroxide,30.5102,0.75145
cedlbl,peroxide,31.2657,0.7539
cedlbl,peroxide,32.0399,0.756462
cedlbl,peroxide,32.8333,0.759152
cedlbl,peroxide,33.6463,0.761985
cedlbl,peroxide,34.4795,0.764976
cedlbl,peroxide,35.3333,0.768142
cedlbl,peroxide,36.2083,0.771514
cedlbl,peroxide,37.1049,0.775482
cedlbl,peroxide,38.0237,0.780145
cedlbl,peroxide,38.9653,0.785421
cedlbl,peroxide,39.9301,0.791228
cedlbl,peroxide,40.9189,0.797485
cedlbl,peroxide,41.9322,0.804109
cedlbl,peroxide,42.9705,0.81102
cedlbl,peroxide,44.0346,0.818135
cedlbl,peroxide,45.125,0.825373
cedlbl,peroxide,46.2424,0.832651
cedlbl,peroxide,47.3875,0.839888
cedlbl,peroxide,48.561,0.847003
cedlbl,peroxide,49.7635,0.853914
cedlbl,peroxide,50.9957,0.860538
cedlbl,peroxide,52.2585,0.866794
cedlbl,peroxide,53.5526,0.872601
cedlbl,peroxide,54.8787,0.877876
cedlbl,peroxide,56.2377,0.882537
cedlbl,peroxide,57.6302,0.886504
cedlbl,peroxide,59.0573,0.889694
cedlbl,peroxide,60.5197,0.892026
cedlbl,peroxide,62.0184,0.893418
cedlbl,peroxide,63.5541,0.893855
cedlbl,peroxide,65.1279,0.89405
cedlbl,peroxide,66.7406,0.894219
cedlbl,peroxide,68.3933,0.894365
cedlbl,peroxide,70.0869,0.89449
cedlbl,peroxide,71.8225,0.894598
cedlbl,peroxide,73.601,0.894692
cedlbl,peroxide,75.4235,0.894775
cedlbl,peroxide,77.2912,0.894851
cedlbl,peroxide,79.2052,0.894922
cedlbl,peroxide,81.1665,0.894991
cedlbl,peroxide,83.1764,0.895062
cedlbl,peroxide,85.2361,0.895138
cedlbl,peroxide,87.3467,0.895222
cedlbl,peroxide,89.5097,0.895317
cedlbl,peroxide,91.7262,0.895427
cedlbl,peroxide,93.9976,0.895554
cedlbl,peroxide,96.3252,0.895702
cedlbl,peroxide,98.7105,0.895874
cedlbl,peroxide,101.155,0.896084
cedlbl,peroxide,103.66,0.896406
cedlbl,peroxide,106.227,0.896847
cedlbl,peroxide,108.857,0.897401
cedlbl,peroxide,111.553,0.898061
cedlbl,peroxide,114.315,0.898818
cedlbl,peroxide,117.146,0.899666
cedlbl,peroxide,120.047,0.900599
cedlbl,peroxide,123.019,0.901607
cedlbl,peroxide,126.066,0.902686
cedlbl,peroxide,129.187,0.903826
cedlbl,peroxide,132.386,0.905022
cedlbl,peroxide,135.664,0.906266
cedlbl,peroxide,139.024,0.907551
cedlbl,peroxide,142.467,0.908869
cedlbl,peroxide,145.994,0.910214
cedlbl,peroxide,149.61,0.911578
cedlbl,peroxide,153.314,0.912954
cedlbl,peroxide,157.111,0.914335
cedlbl,peroxide,161.001,0.915715
cedlbl,peroxide,164.988,0.917085
cedlbl,peroxide,169.074,0.918438
cedlbl,peroxide,173.26,0.919768
cedlbl,peroxide,177.551,0.921067
cedlbl,peroxide,181.947,0.922328
cedlbl,peroxide,186.453,0.923544
cedlbl,peroxide,191.07,0.924708
cedlbl,peroxide,195.801,0.925812
cedlbl,peroxide,200.65,0.92685
cedlbl,peroxide,205.619,0.927863
cedlbl,peroxide,210.71,0.928877
cedlbl,peroxide,215.928,0.929893
cedlbl,peroxide,221.275,0.930909
cedlbl,peroxide,226.754,0.931925
cedlbl,peroxide,232.369,0.932942
cedlbl,peroxide,238.124,0.933959
cedlbl,peroxide,244.02,0.934975
cedlbl,peroxide,250.063,0.93599
cedlbl,peroxide,256.255,0.937004
cedlbl,peroxide,262.6,0.938017
cedlbl,peroxide,269.103,0.939027
cedlbl,peroxide,275.767,0.940036
cedlbl,peroxide,282.596,0.941043
cedlbl,peroxide,289.593,0.942046
cedlbl,peroxide,296.765,0.943047
cedlbl,peroxide,304.113,0.944045
cedlbl,peroxide,311.644,0.945038
cedlbl,peroxide,319.361,0.946028
cedlbl,peroxide,327.269,0.947014
cedlbl,peroxide,335.373,0.947995
cedlbl,peroxide,343.678,0.948971
cedlbl,peroxide,352.188,0.949941
cedlbl,peroxide,360.91,0.950907
cedlbl,peroxide,369.847,0.951866
cedlbl,peroxide,379.005,0.952819
cedlbl,peroxide,388.39,0.953766
cedlbl,peroxide,398.008,0.954706
cedlbl,peroxide,407.864,0.955639
cedlbl,peroxide,417.963,0.956564
cedlbl,peroxide,428.313,0.95748200000000006
cedlbl,peroxide,438.92,0.958391
cedlbl,peroxide,449.788,0.959292
cedlbl,peroxide,460.926,0.960185
cedlbl,peroxide,472.34,0.961068
cedlbl,peroxide,484.037,0.961942
cedlbl,peroxide,496.023,0.962807
cedlbl,peroxide,508.305,0.963661
cedlbl,peroxide,520.892,0.964505
cedlbl,peroxide,533.791,0.965339
cedlbl,peroxide,547.009,0.966162
cedlbl,peroxide,560.555,0.966973
cedlbl,peroxide,574.436,0.967773
cedlbl,peroxide,588.66,0.968561
cedlbl,peroxide,603.237,0.969337
cedlbl,peroxide,618.175,0.970101
cedlbl,peroxide,633.482,0.970852
cedlbl,peroxide,649.169,0.971596
cedlbl,peroxide,665.244,0.972336
cedlbl,peroxide,681.717,0.973072
cedlbl,peroxide,698.599,0.973803
cedlbl,peroxide,715.898,0.974531
cedlbl,peroxide,733.625,0.975254
cedlbl,peroxide,751.792,0.975972
cedlbl,peroxide,770.408,0.976686
cedlbl,peroxide,789.486,0.977395
cedlbl,peroxide,809.036,0.978099
cedlbl,peroxide,829.069,0.978799
cedlbl,peroxide,849.599,0.979493
cedlbl,peroxide,870.638,0.980183
cedlbl,peroxide,892.197,0.980867
cedlbl,peroxide,914.29,0.981546
cedlbl,peroxide,936.931,0.98222
cedlbl,peroxide,960.132,0.982888
cedlbl,peroxide,983.907,0.983551
cedlbl,peroxide,1008.27,0.984208
cedlbl,peroxide,1033.24,0.98486
cedlbl,peroxide,1058.82,0.985506
cedlbl,peroxide,1085.04,0.986146
cedlbl,peroxide,1111.91,0.986781
cedlbl,peroxide,1139.45,0.987409
cedlbl,peroxide,1167.66,0.988031
cedlbl,peroxide,1196.58,0.988647
cedlbl,peroxide,1226.21,0.989257
cedlbl,peroxide,1256.57,0.98986
cedlbl,peroxide,1287.69,0.990457
cedlbl,peroxide,1319.57,0.991047
cedlbl,peroxide,1352.25,0.991631
cedlbl,peroxide,1385.74,0.992208
cedlbl,peroxide,1420.05,0.992778
cedlbl,peroxide,1455.21,0.993342
cedlbl,peroxide,1491.25,0.993898
cedlbl,peroxide,1528.18,0.994447
cedlbl,peroxide,1566.02,0.99499
cedlbl,peroxide,1604.8,0.995525
cedlbl,peroxide,1644.54,0.996052
cedlbl,peroxide,1685.26,0.996573
cedlbl,peroxide,1726.99,0.997085
cedlbl,peroxide,1769.76,0.997591
cedlbl,peroxide,1813.58,0.998088
cedlbl,peroxide,1858.49,0.998578
cedlbl,peroxide,1904.51,0.99906
cedlbl,peroxide,1951.67,0.999534
cedlbl,peroxide,2000,1
cedlbl,no-pretreatment,0.01,0
cedlbl,no-pretreatment,0.0102476,6.21096e-4
cedlbl,no-pretreatment,0.0105014,0.00126443
cedlbl,no-pretreatment,0.0107614,0.0019299
cedlbl,no-pretreatment,0.0110279,0.00261739
cedlbl,no-pretreatment,0.011301,0.0033268
cedlbl,no-pretreatment,0.0115808,0.00405802
cedlbl,no-pretreatment,0.0118676,0.00481094
cedlbl,no-pretreatment,0.0121615,0.00558545
cedlbl,no-pretreatment,0.0124626,0.00638144
cedlbl,no-pretreatment,0.0127712,0.0071988
cedlbl,no-pretreatment,0.0130875,0.00803743
cedlbl,no-pretreatment,0.0134116,0.00889722
cedlbl,no-pretreatment,0.0137437,0.00977806
cedlbl,no-pretreatment,0.014084,0.0106798
cedlbl,no-pretreatment,0.0144328,0.0116024
cedlbl,no-pretreatment,0.0147902,0.0125458
cedlbl,no-pretreatment,0.0151564,0.0135097
cedlbl,no-pretreatment,0.0155317,0.0144942
cedlbl,no-pretreatment,0.0159163,0.0154991
cedlbl,no-pretreatment,0.0163105,0.0165242
cedlbl,no-pretreatment,0.0167143,0.0175695
cedlbl,no-pretreatment,0.0171282,0.0186349
cedlbl,no-pretreatment,0.0175524,0.0197203
cedlbl,no-pretreatment,0.017987,0.0208256
cedlbl,no-pretreatment,0.0184324,0.0219505
cedlbl,no-pretreatment,0.0188889,0.0230952
cedlbl,no-pretreatment,0.0193566,0.0242593
cedlbl,no-pretreatment,0.0198359,0.0254429
cedlbl,no-pretreatment,0.0203271,0.0266458
cedlbl,no-pretreatment,0.0208305,0.0278679
cedlbl,no-pretreatment,0.0213463,0.0291091
cedlbl,no-pretreatment,0.0218749,0.0303693
cedlbl,no-pretreatment,0.0224166,0.0316484
cedlbl,no-pretreatment,0.0229717,0.0329462
cedlbl,no-pretreatment,0.0235405,0.0342628
cedlbl,no-pretreatment,0.0241234,0.0355978
cedlbl,no-pretreatment,0.0247208,0.0369514
cedlbl,no-pretreatment,0.0253329,0.0383232
cedlbl,no-pretreatment,0.0259603,0.0397133
cedlbl,no-pretreatment,0.0266031,0.0411216
cedlbl,no-pretreatment,0.0272619,0.0425478
cedlbl,no-pretreatment,0.0279369,0.043992
cedlbl,no-pretreatment,0.0286287,0.0454539
cedlbl,no-pretreatment,0.0293377,0.0469336
cedlbl,no-pretreatment,0.0300641,0.0484308
cedlbl,no-pretreatment,0.0308086,0.0499455
cedlbl,no-pretreatment,0.0315715,0.0514775
cedlbl,no-pretreatment,0.0323533,0.0530269
cedlbl,no-pretreatment,0.0331545,0.0545934
cedlbl,no-pretreatment,0.0339755,0.0561769
cedlbl,no-pretreatment,0.0348168,0.0577773
